Actor,ActorID,Year,Film,Votes,Rating,FilmID
Bumper Robinson,nm0732436,2020,"Happy Halloween, Scooby-Doo!",976,6.3,tt12838958
Burn Gorman,nm1218607,2020,Enola HolmesThe Good Traitor,133153,13.0,tt7846844tt10375972
Burt Young,nm0949350,2020,Beckman,402,4.2,tt10989808
C. Thomas Howell,nm0001367,2020,Beast Mode,215,3.7,tt2323912
Cailee Spaeny,nm8314228,2020,The Craft: Legacy,7742,4.4,tt4685762
Caitlin FitzGerald,nm2624186,2020,The Trial of the Chicago 7,123084,7.8,tt1070874
Caitriona Balfe,nm1495520,2020,Angela's Christmas Wish,1021,7.1,tt13260836
Caleb Landry Jones,nm2655177,2020,Viena and the Fantomes,508,4.1,tt3344686
Caleb McLaughlin,nm5160895,2020,Concrete Cowboy,1805,6.1,tt8846176
Callan Mulvey,nm0612534,2020,Shadow in the CloudBreachThe F**k-It ListHigh Ground,24205,19.3,tt9691136tt9820556tt8145202tt9286908
Callie Hernandez,nm5555747,2020,One of These Days,148,5.9,tt8415728
Callum Turner,nm4360085,2020,Emma.,34941,6.7,tt9214832
Cam Gigandet,nm1544217,2020,Dangerous Lies,14617,5.3,tt10183816
Camila Mendes,nm6161516,2020,Palm SpringsDangerous Lies,108489,12.7,tt9484998tt10183816
Camila Morrone,nm6714979,2020,Valley Girl,2500,5.4,tt1266036
Camille Sullivan,nm0837992,2020,Hunter Hunter,4333,6.4,tt2226162
Camryn Manheim,nm0005179,2020,The F**k-It List,4721,5.1,tt8145202
Candice Bergen,nm0000298,2020,Let Them All Talk,7003,6.1,tt10808832
Candice King,nm2127038,2020,After We Collided,20250,5.0,tt10362466
Cara Delevingne,nm5353321,2020,Life in a Year,4606,5.8,tt6598238
Cara Gee,nm4446254,2020,The Call of the WildAlone Wolf,40426,11.2,tt7504726tt7996520
Caren Pistorius,nm3308569,2020,UnhingedHigh Ground,41968,12.4,tt10059518tt9286908
Carey Mulligan,nm1659547,2020,Promising Young WomanA Christmas Carol,62069,12.5,tt9620292tt9136058
Carice van Houten,nm0396924,2020,Lost Girls and Love Hotels,2957,4.6,tt0920462
Carla Gallo,nm0303013,2020,Happiest SeasonFour Good Days,27649,12.7,tt8522006tt10344522
Carla Juri,nm3231562,2020,AmuletSix Minutes to Midnight,4097,10.5,tt8332802tt5114840
Carlo Rota,nm0744690,2020,A Perfect Plan,282,4.3,tt9261042
Carlos Cuevas,nm1507717,2020,El verano que vivimos,251,5.9,tt10042590
Carlos PenaVega,nm1821327,2020,Mighty Oak,279,4.9,tt8385384
Carly Chaikin,nm3361199,2020,Last Moment of Clarity,1704,5.2,tt1929297
Carly Pope,nm0005318,2020,The Lost Husband,3550,6.0,tt4257940
Carmen Moore,nm0601003,2020,Little Fish,1383,6.9,tt9735470
Carol Burnett,nm0000993,2020,All Together Now,3202,6.5,tt3155342
Carolina Yuste,nm3660766,2020,Sky High,967,5.7,tt10978398
Caroline Goodall,nm0328751,2020,The Bay of Silence,1500,4.3,tt5617312
Caroline Munro,nm0613098,2020,The Haunting of Margam Castle,383,2.6,tt10648146
Caroline Rhea,nm0005352,2020,Phineas and Ferb the Movie: Candace Against the Universe,3094,7.2,tt1817232
Caroline Williams,nm0930226,2020,Ten Minutes to Midnight,342,4.6,tt10369866
Carolyn McCormick,nm0566509,2020,Killer Daddy Issues,104,5.2,tt10793604
Carrie Coon,nm4689420,2020,The Nest,6415,6.4,tt8338762
Carrie Preston,nm0696387,2020,One of These Days,148,5.9,tt8415728
Cary-Hiroyuki Tagawa,nm0846480,2020,Sky Sharks,708,3.9,tt3977848
Casey Affleck,nm0000729,2020,The World to Come,2942,6.1,tt9738716
Casey Deidrick,nm3275500,2020,Painter,136,4.3,tt7772872
Casper Van Dien,nm0000680,2020,The 2ndRopedLady DriverG-LocThe Warrant,7293,23.6,tt11697484tt8523028tt7562334tt9812258tt10880084
Cassandra Lee Morris,nm0606422,2020,Barbie Princess Adventure,216,5.6,tt12767498
Cassandra Peterson,nm0005308,2020,"Happy Halloween, Scooby-Doo!",976,6.3,tt12838958
Catalina Sandino Moreno,nm1503432,2020,The Quarry,2151,5.3,tt10151054
Catherine Deneuve,nm0000366,2020,Terrible Jungle,335,5.3,tt10366254
Catherine Keener,nm0001416,2020,The Croods: A New Age,22014,7.0,tt2850386
Catherine Walker,nm1254152,2020,The Curse of Audrey Earnshaw,884,4.8,tt7157146
Cathy Moriarty,nm0001550,2020,Shooting HeroinInto the Arms of Danger,1893,10.7,tt8332454tt11962590
Cathy Tyson,nm0879154,2020,The Loss Adjuster,231,3.9,tt6841828
Caylee Cowan,nm9090581,2020,Incision,216,5.9,tt11486994
Cedric the Entertainer,nm0147825,2020,The Opening ActSon of the South,1246,11.5,tt8633748tt2235372
Celia Imrie,nm0408309,2020,Love Sarah,1344,6.2,tt9448932
Celia Weston,nm0922927,2020,The Secret: Dare to DreamAdam,10057,12.8,tt4411584tt1715344
Chace Crawford,nm2003700,2020,Inheritance,9463,5.5,tt7923220
Chad Faust,nm1039977,2020,Girl,1246,4.8,tt9392374
Chad Lindberg,nm0511349,2020,Four Good Days,145,6.1,tt10344522
Chad Michael Murray,nm0614877,2020,Survive the Night,5197,4.1,tt10303324
Chadwick Boseman,nm1569276,2020,Da 5 BloodsMa Rainey's Black Bottom,75566,13.5,tt9777644tt10514222
Chance Hurstfield,nm5520432,2020,FatmanCoffee & Kareem,29061,11.0,tt10310140tt9898858
Chandra West,nm0921979,2020,"Love, Weddings & Other Disasters",781,5.1,tt10235718
Chantel Giacalone,nm1965826,2020,Adam,446,6.4,tt1715344
Charlene Amoia,nm1006439,2020,Birds of PreyAdverse,180677,10.7,tt7713068tt8597594
Charlene Swankie,nm10470534,2020,Nomadland,47068,7.6,tt9770150
Charles Dance,nm0001097,2020,MankThe Book of Vision,50213,12.4,tt10618286tt4016312
Charles Edwards,nm0249876,2020,The Witches,26199,5.3,tt0805647
Charles Melton,nm6217576,2020,Bad Boys for LifeMainstream,134468,11.899999999999999,tt1502397tt9224288
Charlie Barnett,nm1854211,2020,The Stand In,1284,4.5,tt7970348
Charlie Carver,nm3083350,2020,The Boys in the Band,12057,6.8,tt10199914
Charlie Heaton,nm6390427,2020,The New Mutants,48060,5.3,tt4682266
Charlie Murphy,nm3647676,2020,The Winter Lake,443,4.8,tt9778348
Charlie Plummer,nm4055138,2020,SpontaneousWords on Bathroom Walls,8910,13.6,tt5774062tt8045906
Charlie Sheen,nm0000221,2020,Grizzly II: The Concert,449,3.6,tt0093119
Charlie Weber,nm0916518,2020,After We Collided,20250,5.0,tt10362466
Charlize Theron,nm0000234,2020,The Old Guard,131931,6.6,tt7556122
Charlotte Kirk,nm5016840,2020,The Reckoning,1087,4.6,tt9182964
Charlotte McKinney,nm2217206,2020,Fantasy IslandGuest HouseThe Argument,40599,13.9,tt0983946tt10054316tt10307856
Charlotte Spencer,nm2541046,2020,MisbehaviourThe Duke,5913,11.9,tt9148706tt11204094
Charlotte Vega,nm5256984,2020,Mosquito State,149,5.5,tt12789540
Charlyne Yi,nm2304722,2020,Trolls World Tour,17584,6.1,tt6587640
Chase Masterson,nm0135895,2020,Unbelievable!!!!!,753,5.3,tt2180583
Chazz Palminteri,nm0001590,2020,Clover,244,4.3,tt7801350
Cheech Marin,nm0001507,2020,The War with Grandpa,13282,5.6,tt4532038
Chelah Horsdal,nm1319098,2020,Spontaneous,5191,6.5,tt5774062
Chelsea Peretti,nm2003229,2020,The PhotographFriendsgiving,5609,10.4,tt7798646tt8431078
Cher,nm0000333,2020,Bobbleheads: The Movie,153,3.1,tt13292206
Cherami Leigh,nm0473873,2020,A Whisker AwayDigimon Adventure: Last Evolution Kizuna,6773,14.3,tt11958344tt9507234
Cheryl Howard,nm0397194,2020,Hillbilly Elegy,29763,6.7,tt6772802
Chet Hanks,nm2721320,2020,Greyhound,72827,7.0,tt6048922
Chevy Chase,nm0000331,2020,The Very Excellent Mr. Dundee,1091,4.9,tt8560172
China Anne McClain,nm1942207,2020,Hubie Halloween,39958,5.2,tt10682266
Chiwetel Ejiofor,nm0252230,2020,The Old Guard,131931,6.6,tt7556122
Chloe Bennet,nm4032297,2020,Valley Girl,2500,5.4,tt1266036
Chloe Bridges,nm1821410,2020,Browse,115,3.6,tt5580306
Chloe Coleman,nm5668548,2020,My SpyTimmy Failure: Mistakes Were Made,26155,12.399999999999999,tt8242084tt6820324
Chloe East,nm5557379,2020,The Wolf of Snow Hollow,11604,6.2,tt11140488
Chloe Grace Moretz,nm1631269,2020,Shadow in the Cloud,13592,4.8,tt9691136
Chloe Pirrie,nm4006608,2020,Emma.Kindred,35559,11.600000000000001,tt9214832tt9742392
Chloe Webb,nm0916050,2020,Wish Upon A Unicorn,101,5.3,tt10798660
Chord Overstreet,nm3432881,2020,The Swing of Things,1127,2.9,tt6833470
Chris Conner,nm0175134,2020,Altered Carbon: Resleeved,4931,6.5,tt9310328
Chris Cooper,nm0177933,2020,Irresistible,12514,6.3,tt9076562
Chris Coy,nm2421211,2020,The Killing of Two LoversCowboys,931,12.9,tt10702148tt6187134
Chris D'Elia,nm0195626,2020,Life in a Year,4606,5.8,tt6598238
Chris Hemsworth,nm1165110,2020,Extraction,163880,6.7,tt8936646
Chris Jackson,nm1862960,2020,Hamilton,61228,8.5,tt8503618
Chris Kattan,nm0441592,2020,Guest HouseIn Other Words,2050,10.4,tt10054316tt9104196
Chris Lowell,nm1645313,2020,Promising Young Woman,61956,7.5,tt9620292
Chris Marquette,nm0549815,2020,Faith BasedI Hate the Man in My Basement,582,10.4,tt10260692tt5174992
Chris Messina,nm0582149,2020,Birds of PreyI Care a LotShe Dies TomorrowThe Secrets We Keep,267215,23.299999999999997,tt7713068tt9893250tt11614912tt9252488
Chris Mulkey,nm0611889,2020,Rogue Warfare: Death of a Nation,229,3.1,tt7983744
Chris Noth,nm0636562,2020,A New York Christmas Wedding,813,5.4,tt10768194
Chris Pine,nm1517976,2020,Wonder Woman 1984,185527,5.4,tt7126948
Chris Pratt,nm0695435,2020,Onward,108354,7.4,tt7146812
Chris Rock,nm0001674,2020,The Witches,26199,5.3,tt0805647
Chris Tardio,nm0850387,2020,Worth,230,6.9,tt8009744
Chris Titone,nm2636836,2020,Hubie HalloweenThe Wrong Missy,73260,10.9,tt10682266tt9619798
Christian Hillborg,nm2361583,2020,Love Wedding RepeatGames People Play,18386,13.0,tt5096470tt10613992
Christian Slater,nm0000225,2020,We Can Be Heroes,10953,4.7,tt10600398
Christina Hendricks,nm0376716,2020,Scoob!,20220,5.7,tt3152592
Christina Moore,nm0601041,2020,RopedLady DriverWheels of FortuneMile High Escorts,2682,22.0,tt8523028tt7562334tt9735976tt11114708
Christina Ricci,nm0000207,2020,10 Things We Should Do Before We Break Up,797,4.7,tt7939428
Christine Baranski,nm0004724,2020,Christmas on the Square,2162,5.3,tt10627548
Christine Taylor,nm0852132,2020,Friendsgiving,1513,4.4,tt8431078
Christoph Sanders,nm2324912,2020,Faith Based,341,4.9,tt10260692
Christoph Waltz,nm0910607,2020,Rifkin's Festival,1369,6.0,tt8593904
Christopher Abbott,nm3571592,2020,PossessorBlack BearThe World to Come,29809,19.2,tt5918982tt9601220tt9738716
Christopher Fairbank,nm0265457,2020,The Show,204,6.9,tt9165824
Christopher Gorham,nm0330913,2020,One Night in Miami...,21368,7.2,tt10612922
Christopher McDonald,nm0001520,2020,We Can Be HeroesThe Stand at Paxton County,11792,11.100000000000001,tt10600398tt8362228
Christopher Mintz-Plasse,nm2395586,2020,Promising Young Woman,61956,7.5,tt9620292
Christopher Sabat,nm0754526,2020,Under ConTroll,102,3.5,tt3107252
Christopher Walken,nm0000686,2020,The War with GrandpaWild Mountain Thyme,16036,11.2,tt4532038tt6842770
Ciara Hanna,nm3752578,2020,The Call,1913,4.2,tt12971924
Ciaran Hinds,nm0001354,2020,The Man in the Hat,283,6.3,tt9056822
Cicely Tyson,nm0001807,2020,A Fall from Grace,12590,5.9,tt11390036
Cindy Busby,nm1223545,2020,Welcome to the CircleRomance on the Menu,425,8.899999999999999,tt3918800tt11388822
Cindy Pickett,nm0681882,2020,Chasing the Rain,163,4.3,tt2075078
Cindy Williams,nm0930286,2020,Canaan Land,425,7.6,tt5585836
Cinthya Carmona,nm4712342,2020,The Tax CollectorPainter,9880,9.1,tt8461224tt7772872
Claes Bang,nm0051903,2020,The Bay of Silence,1500,4.3,tt5617312
Claire Forlani,nm0001231,2020,Black Beauty,2450,6.4,tt8484160
Claire Keelan,nm1721217,2020,The Trip to Greece,3055,6.6,tt10482504
Claire Rushbrook,nm0750718,2020,Enola HolmesAmmonite,141119,13.1,tt7846844tt7983894
Clancy Brown,nm0000317,2020,Promising Young WomanThe SpongeBob Movie: Sponge on the Run,74228,13.5,tt9620292tt4823776
Clare Dunne,nm7434342,2020,Herself,1737,7.0,tt9902160
Clark Duke,nm0241173,2020,The Croods: A New AgeArkansas,31773,13.0,tt2850386tt9139586
Clark Middleton,nm0585485,2020,Antarctica,122,5.2,tt6235644
Clarke Peters,nm0676370,2020,Da 5 BloodsCome Away,45804,12.2,tt9777644tt5714470
Claudia Cardinale,nm0001012,2020,Rogue City,6739,6.1,tt10127684
Claudia Gerini,nm0314358,2020,HammametBurraco fatale,1412,9.2,tt8615136tt10368460
Clayne Crawford,nm0186728,2020,The Killing of Two Lovers,525,7.2,tt10702148
Clayton James,nm4469146,2020,Christmas on the Menu,285,6.4,tt12968696
Clemence Poesy,nm0993242,2020,TenetResistance,327711,13.9,tt6723592tt6914122
Cleopatra Coleman,nm1671147,2020,The Argument,479,4.6,tt10307856
Cloris Leachman,nm0001458,2020,The Croods: A New Age,22014,7.0,tt2850386
Cobie Smulders,nm1130627,2020,Cicada,273,6.7,tt8998768
Cody Kearsley,nm4181215,2020,Breach,4866,3.0,tt9820556
Colby Minifie,nm2281371,2020,I'm Thinking of Ending Things,65527,6.6,tt7939766
Cole Hauser,nm0369513,2020,The Last Champion,265,7.0,tt5689056
Colin Farrell,nm0268199,2020,AvaArtemis Fowl,66348,9.600000000000001,tt8784956tt3089630
Colin Firth,nm0000147,2020,The Secret GardenSupernova,9037,12.2,tt2702920tt11169050
Colin Ford,nm1225406,2020,The War with Grandpa,13282,5.6,tt4532038
Colin Salmon,nm0758760,2020,Deathstroke Knights & Dragons: The MovieThe Bet,2003,10.2,tt12876132tt7311770
Colin Woodell,nm6018521,2020,The Call of the Wild,40272,6.8,tt7504726
Colleen Camp,nm0131974,2020,Spenser ConfidentialMainstream,72947,11.5,tt8629748tt9224288
Colm Feore,nm0272173,2020,My Salinger Year,998,6.3,tt2222052
Colm Meaney,nm0000538,2020,The BankerPixie,22451,13.1,tt6285944tt10831086
Colman Domingo,nm0231458,2020,Ma Rainey's Black BottomZola,32912,12.9,tt10514222tt5439812
Columbus Short,nm1551922,2020,True to the Game 2,197,3.6,tt11237714
Common,nm0996669,2020,Ava,42637,5.4,tt8784956
Conleth Hill,nm0384152,2020,HerselfHere Are the Young Men,1857,13.3,tt9902160tt5598868
Connie Britton,nm0110168,2020,Promising Young WomanJoe Bell,62188,13.0,tt9620292tt4651466
Connie Nielsen,nm0001567,2020,Wonder Woman 1984Inheritance,194990,10.9,tt7126948tt7923220
Connor Swindells,nm8874222,2020,Emma.,34941,6.7,tt9214832
Connor Trinneer,nm0872997,2020,Unbelievable!!!!!,753,5.3,tt2180583
Conrad Ricamora,nm1505056,2020,Over the Moon,14615,6.4,tt7488208
Coral Pena,nm7408600,2020,Chemical Hearts,8728,6.3,tt5843876
Corbin Bernsen,nm0000929,2020,First LadyA Deadly LegendThe Christmas Project Reunion,375,10.8,tt9068272tt10021582tt10328320
Corey Sevier,nm0786417,2020,Shattered Memories,159,5.0,tt10938266
Corin Nemec,nm0005269,2020,Run Hide Fight,14676,6.4,tt11456054
Corinne Foxx,nm1010724,2020,Safety,2772,6.8,tt10649016
Corinne Massiah,nm5043629,2020,Bad Hair,2337,5.6,tt4798836
Cory Lee,nm0881875,2020,Books of BloodHotwired in Suburbia,4979,9.5,tt11242218tt8985240
Cosmo Jarvis,nm4008605,2020,Funny FaceThe Evening Hour,365,11.899999999999999,tt11638942tt5554356
Costas Mandylor,nm0541908,2020,C.L.E.A.N.Incision,498,12.3,tt6836734tt11486994
Courtney B. Vance,nm0005524,2020,Project PowerUncorkedThe Photograph,81057,18.2,tt7550000tt9261218tt7798646
Craig Ferguson,nm0272401,2020,Then Came You,1077,6.2,tt8367084
Craig Robinson,nm0732497,2020,DolittleSongbirdTimmy Failure: Mistakes Were Made,58375,16.299999999999997,tt6673612tt12592252tt6820324
Cree Cicchino,nm7446985,2020,The Sleepover,8243,5.6,tt10888708
Cress Williams,nm0930317,2020,The Violent Heart,150,5.2,tt8310476
Crispin Glover,nm0000417,2020,Smiley Face Killers,539,3.6,tt12757438
Cristin Milioti,nm2129662,2020,Palm Springs,93872,7.4,tt9484998
Cristina Valenzuela,nm2583829,2020,A Whisker Away,5833,6.7,tt11958344
Cuba Gooding Jr.,nm0000421,2020,Life in a Year,4606,5.8,tt6598238
Curtis Armstrong,nm0035664,2020,Malibu Rescue: The Next Wave,591,4.7,tt11032990
Cush Jumbo,nm2685264,2020,The Postcard Killings,6998,5.7,tt4106514
Cynthia Addai-Robinson,nm1870963,2020,Always and Forever,338,3.8,tt7544954
Cynthia Gibb,nm0001269,2020,Christmas on the Menu,285,6.4,tt12968696
Cynthy Wu,nm5318271,2020,Holidate,47292,6.1,tt9866072
DMX,nm0229422,2020,Chronicle of a Serial KillerFast and Fierce: Death Race,847,8.7,tt4269310tt11765324
Da'Vine Joy Randolph,nm5007768,2020,Trolls World TourKajillionaireThe Last Shift,28293,18.2,tt6587640tt8143990tt10661180
Dacre Montgomery,nm4223882,2020,The Broken Hearts Gallery,4364,6.2,tt2140571
Dafne Keen,nm6748436,2020,Ana,1272,5.8,tt6865630
Dakota Fanning,nm0266824,2020,Viena and the Fantomes,508,4.1,tt3344686
Dakota Johnson,nm0424848,2020,The High Note,7145,6.4,tt9308382
Dale Dickey,nm0225460,2020,Palm Springs,93872,7.4,tt9484998
Damian Chapa,nm0152082,2020,Rifkin's FestivalPistolera,1577,8.0,tt8593904tt9037864
Damian Lewis,nm0507073,2020,Dream Horse,158,6.0,tt9883996
Damian Young,nm0949433,2020,The Trial of the Chicago 7I Care a LotAntarctica,204826,19.3,tt1070874tt9893250tt6235644
Damien Garvey,nm0960946,2020,Love and Monsters,36075,7.0,tt2222042
Damon Wayans Jr.,nm0915458,2020,"Love, Guaranteed",14183,5.5,tt11100856
Dan Butler,nm0124873,2020,All My Life,1564,6.2,tt8305852
Dan Ewing,nm2045439,2020,Love and MonstersOccupation: Rainfall,37182,13.7,tt2222042tt8615822
Dan Fogler,nm0283945,2020,The Argument,479,4.6,tt10307856
Dan Hedaya,nm0000445,2020,Funny Face,264,5.8,tt11638942
Dan Lauria,nm0491357,2020,HolidateThe Way BackThe Opening ActThe Eagle and the Albatross,82581,23.6,tt9866072tt8544498tt8633748tt7326168
Dan Levy,nm2391794,2020,Happiest Season,27504,6.6,tt8522006
Dan Payne,nm1026161,2020,Aliens Stole My Body,113,3.5,tt12517908
Dan Stevens,nm1405398,2020,Eurovision Song Contest: The Story of Fire SagaThe Call of the WildThe RentalBlithe Spirit,139318,24.4,tt8580274tt7504726tt10003008tt10334148
Dana Ashbrook,nm0000796,2020,Minor Premise,750,5.1,tt12680508
Dana DeLorenzo,nm1632536,2020,Friendsgiving,1513,4.4,tt8431078
Daniel Baldwin,nm0000838,2020,The Christmas Project Reunion,115,4.7,tt10328320
Daniel Bernhardt,nm0076780,2020,Birds of PreySkylines,182234,10.8,tt7713068tt9387250
Daniel Gillies,nm0319171,2020,Occupation: Rainfall,1107,6.7,tt8615822
Daniel Kaluuya,nm2257207,2020,A Christmas Carol,113,5.0,tt9136058
Daniel Lapaine,nm0487406,2020,Miss Fisher & the Crypt of Tears,3071,6.1,tt9010738
Daniel Mays,nm0990547,2020,The Rhythm Section,13458,5.3,tt7134096
Daniel Radcliffe,nm0705356,2020,Escape from Pretoria,25465,6.8,tt5797184
Daniel Roebuck,nm0736263,2020,Penance LaneDisruptedMy Brothers' Crossing,1279,12.9,tt1964995tt6829882tt10719628
Daniel Webber,nm3206486,2020,Escape from Pretoria,25465,6.8,tt5797184
Daniel Wu,nm0943079,2020,Caught in Time,331,6.1,tt9877138
Daniel di Tomasso,nm5116901,2020,French Exit,498,6.5,tt10279362
Daniella Alonso,nm0022161,2020,Darkness Falls,845,4.5,tt6647564
Daniella Pineda,nm4427331,2020,Before/During/AfterModern Persuasion,384,9.600000000000001,tt6393674tt2165922
Danielle Harris,nm0364583,2020,Redwood Massacre: Annihilation,257,4.1,tt10473312
Danielle Macdonald,nm4359664,2020,French Exit,498,6.5,tt10279362
Danielle Nicolet,nm0630379,2020,Faith Based,341,4.9,tt10260692
Danny DeVito,nm0000362,2020,The One and Only Ivan,9201,6.6,tt3661394
Danny Deferrari,nm1876851,2020,Shiva Baby,1208,7.2,tt11317142
Danny Pino,nm0992694,2020,Fatale,4669,5.3,tt8829830
Danny Pudi,nm2209821,2020,The Argument,479,4.6,tt10307856
Danny Ramirez,nm6639989,2020,Valley Girl,2500,5.4,tt1266036
Danny Trejo,nm0001803,2020,The SpongeBob Movie: Sponge on the RunFinal KillThe Last ExorcistPistolera,13166,15.0,tt4823776tt9347750tt7311330tt9037864
Darby Camp,nm6081322,2020,The Christmas Chronicles: Part Two,23535,6.0,tt11057644
Darby Stanchfield,nm1581670,2020,Stargirl,4095,6.2,tt4858674
Darcy Rose Byrnes,nm1393246,2020,Isi & Ossi,6659,6.4,tt9806322
Darlene Vogel,nm0900877,2020,Day 13,187,3.4,tt6829368
Dave Bautista,nm1176985,2020,My Spy,23835,6.3,tt8242084
Dave Grohl,nm0342970,2020,Bill & Ted Face the Music,31080,6.1,tt1086064
Dave Sheridan,nm0792156,2020,Spy InterventionSky SharksThe Special,2067,12.5,tt7369550tt3977848tt9118804
Daveed Diggs,nm4377526,2020,SoulHamilton,276419,16.6,tt2948372tt8503618
David Alan Grier,nm0004979,2020,Coffee & Kareem,11989,5.1,tt9898858
David Arquette,nm0000274,2020,Spree12 Hour Shift,8339,11.3,tt11394332tt10309552
David Bamber,nm0051394,2020,Enola Holmes,132681,6.6,tt7846844
David Castaneda,nm3244078,2020,The Tax Collector,9744,4.8,tt8461224
David Chokachi,nm0002003,2020,The Bone Box,153,3.1,tt4626020
David Cronenberg,nm0000343,2020,Falling,2475,6.3,tt9143112
David Cross,nm0189144,2020,The Dark Divide,274,5.9,tt8356394
David Del Rio,nm2980031,2020,A California Christmas,6570,5.8,tt13055780
David Denman,nm0219292,2020,Greenland,73545,6.4,tt7737786
David Duchovny,nm0000141,2020,The Craft: Legacy,7742,4.4,tt4685762
David Harbour,nm1092086,2020,Extraction,163880,6.7,tt8936646
David Henrie,nm1273708,2020,This Is the Year,102,7.4,tt8231202
David Herman,nm0379114,2020,"Happy Halloween, Scooby-Doo!",976,6.3,tt12838958
David Keith,nm0001418,2020,Finding Grace,160,5.0,tt7838654
David Koechner,nm0462712,2020,Faith BasedThe Dark DivideVicious Fun,818,17.200000000000003,tt10260692tt8356394tt11778118
David Labrava,nm3157157,2020,Hunter's Moon,443,3.3,tt5761986
David Oyelowo,nm0654648,2020,The Midnight SkyCome Away,73289,11.3,tt10539608tt5714470
David Paymer,nm0001601,2020,Horse GirlBad Therapy,15623,10.2,tt11388406tt8488518
David Rintoul,nm0727778,2020,Jungle Beat: The Movie,415,5.7,tt12139700
David Spade,nm0005450,2020,The Wrong Missy,33302,5.7,tt9619798
David Strathairn,nm0000657,2020,NomadlandWalkaway Joe,47736,13.2,tt9770150tt4427800
David Thewlis,nm0000667,2020,I'm Thinking of Ending Things,65527,6.6,tt7939766
David Wenham,nm0920992,2020,The Furnace,385,6.7,tt10964530
David Zayas,nm0953882,2020,Force of NatureBody Cam,11015,9.8,tt10308928tt8179024
Dawna Lee Heising,nm3148014,2020,Bad PresidentCanaan Land,917,11.0,tt10047958tt5585836
Dean Cain,nm0001002,2020,Faith Under FireAgent Toby Barks,270,5.4,tt8590528tt11014432
Dean Winters,nm0935921,2020,Lost Girls,17680,6.1,tt3111426
Dean-Charles Chapman,nm2835616,2020,Here Are the Young Men,120,6.3,tt5598868
Debby Ryan,nm2913275,2020,Horse GirlThe Opening Act,15792,12.0,tt11388406tt8633748
Deborah Ayorinde,nm3831822,2020,Always and Forever,338,3.8,tt7544954
